,Collision,Sick,reachedGoal,Time,ShortestDistanceAverage,ShortestDistanceMedian
0,0,8,20,21.46221160888672,7.887060642242432,17.896595001220703
1,2,4,20,22.191303253173828,6.250951766967773,5.672165393829346
2,0,6,20,19.747825622558594,6.717769145965576,5.913874626159668
3,1,5,18,-1.0,7.441105842590332,15.297567367553711
4,0,5,20,20.90697479248047,4.6654767990112305,3.200686931610107
5,0,4,20,18.25,6.944491863250732,8.36463737487793
6,0,5,20,19.55999755859375,6.521850109100342,5.803538799285889
7,0,5,20,21.3800048828125,7.529422283172607,11.815956115722656
8,1,5,19,-1.0,4.174283981323242,8.22701644897461
9,0,4,20,22.439987182617188,5.590668678283691,5.250461578369141
10,0,5,19,-1.0,4.148539066314697,6.361850738525391
11,1,5,19,-1.0,6.759692192077637,9.769594192504883
12,1,4,20,19.75,5.65380334854126,15.933984756469727
13,0,4,19,-1.0,5.038294315338135,5.262622833251953
14,1,4,20,21.75,6.516699314117432,2.636783361434936
15,1,5,19,-1.0,4.4454755783081055,13.159313201904297
16,7,6,20,18.949981689453125,7.772941589355469,4.58220100402832
17,6,4,20,21.660003662109375,7.167097568511963,5.589565277099609
18,0,5,20,29.230010986328125,4.832787990570068,8.50644302368164
19,0,4,20,19.30999755859375,7.161022663116455,13.115500450134277
20,1,5,20,22.16998291015625,4.505065441131592,3.931839942932129
21,0,4,20,19.380035400390625,6.783055782318115,16.17595672607422
22,0,5,20,19.5,4.518295764923096,4.764832496643066
23,0,4,20,19.42999267578125,4.602832317352295,2.527389526367187
24,1,5,20,18.80999755859375,6.41582441329956,7.471297740936279
25,0,4,20,19.8399658203125,7.836477756500244,6.85551643371582
26,2,4,20,21.9100341796875,4.46945333480835,3.219168663024902
27,0,5,20,21.15997314453125,6.542717933654785,7.332818984985352
28,0,4,20,19.510009765625,5.560061931610107,3.764053344726562
29,1,4,20,21.510009765625,4.91951847076416,6.9452457427978525
30,0,5,20,19.41998291015625,6.550113201141357,12.618616104125977
31,13,5,20,20.05999755859375,3.946201801300049,3.711846351623535
32,0,5,20,18.28997802734375,4.9636006355285645,5.4218525886535645
33,0,4,20,18.530029296875,4.557662487030029,3.695975303649902
34,0,5,20,19.33001708984375,6.807528495788574,4.62140417098999
35,0,5,20,19.26995849609375,4.217775821685791,3.174746990203857
36,0,5,20,19.4200439453125,3.5763742923736572,2.979365587234497
37,0,4,19,-1.0,5.208135604858398,5.145560264587402
38,0,7,20,19.0899658203125,4.712700366973877,3.29763650894165
39,3,5,20,19.25,6.264483451843262,8.020030975341797
40,1,4,20,18.97003173828125,4.265007495880127,3.014007568359375
41,0,7,20,18.449951171875,6.959811210632324,6.941803455352783
42,8,4,20,24.300048828125,6.968006610870361,5.11271333694458
43,0,4,20,20.97998046875,5.35965633392334,2.6360690593719482
44,2,4,20,18.969970703125,5.803684234619141,13.573963165283203
45,3,6,19,-1.0,5.760867595672607,5.378297805786133
46,0,4,20,17.6199951171875,6.982698917388916,10.648200035095215
47,3,4,20,22.080078125,6.884922981262207,12.224245071411133
48,0,5,20,22.2099609375,6.4810895919799805,4.055973052978516
49,0,5,20,19.010009765625,5.799469947814941,5.639150142669678
50,0,4,20,19.8399658203125,5.373199462890625,10.649615287780762
51,0,5,20,20.6199951171875,5.917364120483398,2.974880456924438
52,2,4,20,19.9599609375,3.749374151229858,3.62898302078247
53,0,5,20,21.090087890625,5.97588586807251,5.750668525695801
54,0,5,20,19.719970703125,5.625932216644287,9.281113624572754
