,Collision,Sick,reachedGoal,Time,ShortestDistanceAverage,ShortestDistanceMedian
0,4,9,19,-1.0,9.059991836547852,9.876571655273438
1,1,4,18,-1.0,6.424022674560547,4.203910827636719
2,1,5,16,-1.0,4.53505277633667,9.018540382385254
3,11,4,18,-1.0,5.181220531463623,4.874955177307129
4,0,4,19,-1.0,5.182775974273682,8.016839027404785
5,6,4,20,29.729995727539062,6.984276294708252,16.614309310913086
6,0,4,19,-1.0,6.780569076538086,6.980223178863525
7,2,4,20,28.839996337890625,6.969703674316406,14.71381950378418
8,1,4,20,28.800003051757812,4.25732421875,4.067980289459228
9,4,4,18,-1.0,5.518085479736328,4.6821184158325195
10,3,5,18,-1.0,5.890522480010986,8.451995849609375
11,1,4,20,28.71002197265625,4.455542087554932,14.109846115112305
12,6,5,20,29.72998046875,6.604316234588623,7.732757568359375
13,0,4,20,29.149993896484375,6.179282665252685,4.652624607086182
14,1,5,19,-1.0,4.597835540771484,8.854761123657227
15,4,5,19,-1.0,6.945737361907959,18.09688949584961
16,7,4,19,-1.0,7.702298164367676,6.330134868621826
17,1,4,20,27.540008544921875,7.949132442474365,12.332818984985352
18,2,5,19,-1.0,5.835045337677002,5.470244407653809
19,3,5,19,-1.0,6.8801069259643555,8.583226203918457
20,1,5,19,-1.0,7.893962860107422,13.606436729431152
21,0,6,19,-1.0,5.589128494262695,4.841869831085205
22,7,6,20,29.969970703125,7.353414535522461,4.832327842712402
23,1,5,20,28.0400390625,7.026580333709717,6.563920497894287
24,1,5,19,-1.0,7.729176998138428,8.18474292755127
25,1,6,19,-1.0,5.109218597412109,3.4026377201080322
26,7,4,20,27.05999755859375,7.699822902679443,5.300806045532227
27,0,4,19,-1.0,7.444706916809082,5.785277366638184
28,6,6,20,25.260009765625,4.802541732788086,14.421615600585938
29,8,5,19,-1.0,6.107051372528076,7.029751300811768
30,0,5,19,-1.0,6.642719745635986,5.402807235717773
31,0,5,19,-1.0,6.1416335105896,5.052973747253418
32,2,5,18,-1.0,4.853096008300781,3.590484380722046
33,0,4,19,-1.0,6.893810749053955,6.12964916229248
34,0,5,20,29.40997314453125,4.7649102210998535,3.417766094207763
35,0,6,18,-1.0,6.029637813568115,10.091501235961914
36,6,4,19,-1.0,6.286515235900879,8.822895050048828
37,0,4,19,-1.0,5.248525142669678,3.969639778137207
38,3,6,19,-1.0,4.479050159454346,3.786073923110962
39,1,4,18,-1.0,5.05417013168335,4.415016174316406
40,3,4,19,-1.0,6.561781883239746,5.398324966430664
41,6,7,20,27.68994140625,6.32034969329834,17.264535903930664
42,10,6,18,-1.0,6.812975883483887,6.205357074737549
43,0,5,19,-1.0,6.906542778015137,7.149688720703125
44,1,6,20,28.510009765625,5.784024715423584,4.098912239074707
45,13,5,18,-1.0,4.960978984832764,6.546884536743164
46,4,4,19,-1.0,7.896581172943115,12.363946914672852
47,3,5,20,27.9400634765625,8.630575180053711,8.000299453735352
48,7,4,20,29.2099609375,6.565127849578857,7.1554365158081055
49,9,5,18,-1.0,5.064995288848877,14.166498184204102
50,1,5,13,-1.0,6.377547264099121,10.541763305664062
51,11,5,0,-1.0,6.711451530456543,13.644841194152832
52,0,4,0,-1.0,4.8527913093566895,4.010629177093506
53,5,4,0,-1.0,5.544695854187012,4.848954677581787
54,3,7,1,-1.0,5.79517936706543,6.470824241638184
55,0,6,18,-1.0,7.09946346282959,15.476222038269043
56,2,4,18,-1.0,5.616830348968506,14.298225402832031
57,2,6,16,-1.0,7.079065799713135,15.247629165649414
58,0,5,17,-1.0,6.773820400238037,16.505992889404297
59,5,5,17,-1.0,8.052123069763184,13.279491424560547
60,0,6,16,-1.0,7.566089630126953,6.860961437225342
61,12,5,19,-1.0,5.42349100112915,8.045942306518555
62,0,6,19,-1.0,5.745954990386963,4.181761264801025
63,3,6,20,26.969970703125,6.565101146697998,5.337762355804443
64,8,4,19,-1.0,6.01355504989624,5.464223384857178
65,0,6,19,-1.0,5.22031307220459,7.621847152709961
66,9,4,17,-1.0,5.924770832061768,5.766374111175537
67,2,6,20,29.6500244140625,5.530090808868408,10.249393463134766
68,0,4,19,-1.0,5.8607683181762695,7.785878658294678
69,1,4,19,-1.0,7.39779806137085,6.911919593811035
70,3,6,19,-1.0,4.319288730621338,3.192832946777343
71,7,6,19,-1.0,5.631608009338379,5.7375712394714355
72,17,4,20,26.68994140625,7.58154821395874,14.348832130432129
73,3,4,19,-1.0,7.698451995849609,4.618575572967529
74,5,4,20,28.4599609375,7.651299476623535,7.432037353515625
75,2,5,19,-1.0,5.296801567077637,12.81668472290039
76,7,4,20,28.489990234375,4.794427871704102,9.81828498840332
77,1,4,19,-1.0,4.592069625854492,5.367786884307861
78,7,4,18,-1.0,5.954617023468018,8.99170207977295
79,0,4,19,-1.0,6.5302605628967285,7.265877723693848
80,0,4,19,-1.0,6.012558460235596,10.900806427001955
81,3,5,20,29.510009765625,5.955849647521973,5.292121410369873
82,0,4,19,-1.0,5.870429039001465,4.514011383056641
83,2,4,19,-1.0,7.033891677856445,4.353407382965088
84,10,7,19,-1.0,6.490128993988037,7.032551288604736
85,0,4,19,-1.0,5.95396614074707,10.335988998413086
86,7,6,20,28.080078125,4.910708427429199,11.723819732666016
87,3,4,20,28.4599609375,6.042551517486572,6.458217144012451
88,2,4,20,28.43994140625,6.573733806610107,9.057462692260742
89,1,4,19,-1.0,6.11613130569458,9.595129013061523
90,0,4,19,-1.0,8.396256446838379,6.132979393005371
91,0,5,18,-1.0,6.719040870666504,6.451000690460205
92,0,4,19,-1.0,7.715166091918945,4.51265811920166
93,1,5,19,-1.0,4.856734752655029,4.538752555847168
94,5,4,18,-1.0,7.143886566162109,10.811890602111816
95,2,4,20,26.639892578125,6.356000900268555,5.577635765075684
96,2,4,18,-1.0,6.231499195098877,5.794041156768799
97,1,4,20,28.800048828125,7.730973720550537,12.57873821258545
98,0,4,20,29.22998046875,5.246212005615234,4.304862022399902
99,11,4,19,-1.0,6.5204925537109375,4.399783134460449
100,1,6,20,29.469970703125,4.899964809417725,3.458347558975219
101,4,5,18,-1.0,4.435708045959473,6.5206804275512695
102,6,4,19,-1.0,7.638908386230469,6.666958808898926
103,1,5,20,29.340087890625,4.306003093719482,4.824085235595703
104,5,5,19,-1.0,4.495095252990723,5.8251824378967285
105,7,6,19,-1.0,6.924887180328369,10.055715560913086
106,6,4,18,-1.0,8.332817077636719,7.546152114868164
107,5,5,19,-1.0,4.246263027191162,7.955625534057617
108,0,4,19,-1.0,5.633257865905762,7.164768695831299
109,0,4,19,-1.0,4.892496109008789,4.112693309783935
110,2,4,20,29.31005859375,5.2778639793396,4.513280868530273
111,5,6,20,28.7900390625,7.580517768859863,3.9058961868286133
112,12,5,20,26.929931640625,6.524652004241943,15.011629104614258
113,0,5,19,-1.0,6.987965106964111,6.618128776550293
114,8,6,20,28.079833984375,4.289031505584717,9.181112289428711
115,4,4,19,-1.0,6.726064682006836,10.64536190032959
116,0,4,19,-1.0,8.272377014160156,16.049869537353516
117,2,4,19,-1.0,5.902615547180176,5.958676815032959
118,4,4,19,-1.0,7.091066360473633,3.700788736343384
119,5,4,18,-1.0,4.986448287963867,1.9905227422714231
120,0,7,19,-1.0,5.516950607299805,9.163171768188477
121,8,4,19,-1.0,6.843189239501953,7.179107666015625
122,9,4,18,-1.0,5.347636699676514,3.7914905548095703
123,10,4,19,-1.0,4.361493110656738,10.137455940246582
124,9,4,19,-1.0,6.897397994995117,13.38039779663086
125,9,5,19,-1.0,8.137091636657715,8.841964721679688
126,3,4,20,29.68017578125,6.477192878723144,7.537381649017334
127,4,4,20,26.579833984375,6.3713202476501465,12.870987892150879
128,1,5,20,27.230224609375,8.231940269470215,11.54072380065918
129,0,4,18,-1.0,5.916598796844482,3.772371768951416
130,2,5,20,27.31005859375,4.38185977935791,8.313461303710938
131,3,4,18,-1.0,6.404935359954834,7.593368053436279
132,9,5,19,-1.0,6.980624675750732,6.291326999664307
133,8,4,19,-1.0,6.324314117431641,8.516823768615723
134,2,4,20,26.18017578125,5.354879379272461,6.20685338973999
135,8,4,19,-1.0,6.877437114715576,4.462654113769531
136,1,4,19,-1.0,5.959902763366699,12.97145462036133
137,8,5,19,-1.0,7.140660285949707,10.53271770477295
138,6,4,19,-1.0,6.485593318939209,5.429333209991455
139,1,4,19,-1.0,6.775490760803223,4.97065544128418
140,0,4,20,28.409912109375,4.878149509429932,5.261448383331299
141,1,5,20,29.949951171875,6.428905010223389,5.6490349769592285
142,4,4,18,-1.0,8.85238265991211,13.151607513427734
143,0,4,20,28.419921875,6.520803451538086,7.498988151550293
144,3,6,20,27.51025390625,8.455693244934082,9.369524002075195
145,1,5,20,29.31005859375,4.838562965393066,5.702358245849609
146,0,5,19,-1.0,4.69184684753418,4.32981538772583
147,4,5,20,27.57958984375,6.807795524597168,9.915960311889648
148,0,4,20,29.490234375,5.338268280029297,11.706428527832031
149,0,5,19,-1.0,6.361866474151611,7.3339643478393555
150,7,6,20,29.39990234375,6.734091758728027,9.842658996582031
151,9,5,19,-1.0,5.750924110412598,4.553780555725098
152,0,4,18,-1.0,5.735934257507324,5.390199661254883
153,0,4,17,-1.0,6.165128231048584,14.7652006149292
154,0,4,18,-1.0,5.709000110626221,12.450353622436523
155,1,4,19,-1.0,6.655026912689209,5.042539119720459
156,0,5,19,-1.0,7.097591876983643,9.266575813293457
157,5,6,20,26.3798828125,6.682595729827881,5.109852790832519
158,2,5,19,-1.0,4.036596775054932,7.445623397827148
159,11,4,19,-1.0,5.88320255279541,9.933868408203125
160,1,6,19,-1.0,6.65143346786499,14.509235382080078
161,0,5,20,28.12841796875,4.534869194030762,3.87776517868042
162,1,4,19,-1.0,7.182557582855225,10.867523193359375
163,0,4,20,26.36962890625,6.823186874389648,12.868370056152344
164,2,4,19,-1.0,7.386301517486572,7.191705226898193
165,1,4,20,28.13037109375,8.677420616149902,12.689155578613281
166,3,4,19,-1.0,5.533625602722168,11.361942291259766
167,5,4,18,-1.0,7.608113765716553,7.044815063476562
168,1,6,18,-1.0,4.436618804931641,5.063384056091309
169,1,6,19,-1.0,4.532812595367432,4.85681676864624
170,5,5,19,-1.0,5.922746658325195,6.071755409240723
171,6,4,19,-1.0,5.818541049957275,7.231910705566406
172,1,5,19,-1.0,4.748972415924072,3.230843544006347
173,6,5,18,-1.0,5.044012546539307,7.7832231521606445
174,1,5,19,-1.0,7.651175498962402,8.348488807678223
175,0,4,20,29.08984375,6.6763834953308105,7.8110527992248535
176,2,4,19,-1.0,6.741168975830078,10.577021598815918
177,1,5,16,-1.0,6.109793663024902,19.947824478149414
178,4,5,20,28.2900390625,7.8973469734191895,7.738955974578857
179,6,6,19,-1.0,6.314055442810059,8.418323516845703
180,14,5,20,26.5498046875,5.887407302856445,8.006612777709961
181,2,4,19,-1.0,5.584944248199463,9.007429122924805
182,7,5,20,29.80029296875,7.698379993438721,16.211315155029297
183,0,4,20,29.33984375,6.564424991607666,6.9144673347473145
184,0,4,20,26.6201171875,6.78416633605957,5.730271339416504
185,0,4,18,-1.0,5.902896881103516,11.384275436401367
186,3,4,18,-1.0,7.232948303222656,5.013232707977295
187,1,4,20,28.4697265625,5.104792594909668,8.380477905273438
188,4,4,19,-1.0,6.753903388977051,11.671435356140137
189,0,6,19,-1.0,7.110151767730713,5.53403902053833
190,5,4,20,27.9599609375,7.6106791496276855,13.26622486114502
191,0,4,19,-1.0,5.774187088012695,4.63106632232666
192,0,4,19,-1.0,7.200963497161865,6.081477642059326
193,8,4,20,29.88037109375,6.980985164642334,13.910465240478516
194,6,4,19,-1.0,4.7984466552734375,7.8043718338012695
195,13,4,16,-1.0,4.57492208480835,2.071729898452759
196,1,5,19,-1.0,4.373180866241455,3.383617401123047
197,9,4,19,-1.0,3.757927656173706,4.079497814178467
198,5,5,19,-1.0,5.85078239440918,4.544797420501709
199,10,7,19,-1.0,6.161855220794678,5.016589164733887
200,0,4,19,-1.0,5.101367950439453,8.519937515258789
201,8,4,19,-1.0,6.010254383087158,3.845136642456054
202,0,5,19,-1.0,7.663218975067139,15.269807815551758
203,0,4,19,-1.0,6.560018539428711,14.612350463867188
204,5,5,18,-1.0,4.577877521514893,5.254885196685791
205,1,4,20,28.4599609375,5.512067794799805,7.945853233337402
206,1,6,19,-1.0,4.870578765869141,8.040740966796875
207,8,5,19,-1.0,6.437318801879883,6.118749618530273
208,1,4,19,-1.0,6.424737453460693,8.75931167602539
209,0,5,20,27.2197265625,7.179717063903809,5.172246932983398
210,4,5,19,-1.0,7.305046081542969,7.008833408355713
211,8,5,17,-1.0,5.950268268585205,6.72332763671875
212,0,4,20,29.35009765625,6.34531307220459,9.893925666809082
213,0,4,20,28.73974609375,5.800067901611328,11.773576736450195
214,10,5,19,-1.0,3.963106393814087,7.2880048751831055
215,7,5,20,27.84033203125,4.932376384735107,9.166618347167969
216,3,5,19,-1.0,6.237417221069336,9.70068359375
217,8,4,20,29.2197265625,8.175771713256836,15.205154418945312
218,2,4,19,-1.0,5.296212196350098,6.615978717803955
219,1,4,20,28.63037109375,5.118210315704346,4.185008525848389
220,4,4,19,-1.0,4.869907855987549,7.095627307891846
221,2,5,19,-1.0,5.88004207611084,4.716526508331299
222,7,4,20,28.599609375,7.226257801055908,7.17820930480957
223,6,5,19,-1.0,5.982947826385498,6.607731819152832
224,6,4,19,-1.0,6.431273460388184,10.527414321899414
225,10,4,18,-1.0,8.106087684631348,10.399736404418945
226,0,4,18,-1.0,6.970407962799072,11.343692779541016
227,0,4,18,-1.0,5.82661771774292,7.807714939117432
228,6,5,18,-1.0,5.713588714599609,7.546627044677734
229,0,4,19,-1.0,4.747110843658447,12.318428993225098
230,2,5,17,-1.0,4.97061824798584,6.408741950988769
231,6,4,16,-1.0,6.442551612854004,18.450069427490234
232,0,4,18,-1.0,7.197405815124512,6.851602077484131
233,0,5,18,-1.0,4.655081748962402,7.404193878173828
234,2,4,18,-1.0,5.933894157409668,4.061465263366699
235,3,5,18,-1.0,5.9531474113464355,10.782112121582031
236,6,4,17,-1.0,6.174436569213867,3.780309677124023
237,0,7,19,-1.0,7.165508270263672,5.303160190582275
238,0,6,17,-1.0,5.35642147064209,8.504545211791992
239,1,4,17,-1.0,7.450278759002685,6.368119239807129
240,0,4,19,-1.0,5.123808860778809,3.9295661449432373
241,1,4,19,-1.0,6.712576389312744,5.368056297302246
242,10,5,15,-1.0,5.738811016082764,12.550010681152344
243,8,4,18,-1.0,4.725893497467041,4.517613887786865
244,0,4,18,-1.0,4.893850803375244,3.842341184616089
245,0,4,17,-1.0,6.218247413635254,4.7629008293151855
246,13,4,17,-1.0,7.167571067810059,9.922849655151367
247,11,4,16,-1.0,7.095670700073242,12.935307502746582
248,7,5,17,-1.0,6.513624668121338,12.784625053405762
249,0,6,18,-1.0,7.928203582763672,5.832008361816406
250,2,5,18,-1.0,6.1453857421875,5.566409111022949
251,13,4,16,-1.0,7.096729755401611,4.952639102935791
252,1,5,19,-1.0,4.816315174102783,8.672872543334961
253,8,4,16,-1.0,4.146317005157471,8.536405563354492
254,0,5,18,-1.0,4.867785453796387,8.663122177124023
255,0,5,18,-1.0,5.642600059509277,5.2040486335754395
256,1,5,18,-1.0,5.340030670166016,6.778428554534912
257,1,7,17,-1.0,7.979648113250732,13.203394889831543
258,5,5,14,-1.0,5.802826404571533,12.055341720581055
