,Collision,Sick,reachedGoal,Time,ShortestDistanceAverage,ShortestDistanceMedian
0,0,8,3,-1,7.779408931732178,8.811041831970215
1,0,5,3,-1,7.099155426025391,7.637921333312988
2,0,4,5,-1,9.715352058410645,18.730098724365234
3,0,5,3,-1,5.736812114715576,6.523821830749512
4,0,4,4,-1,8.960014343261719,7.5633625984191895
5,0,5,4,-1,8.384757041931152,12.262950897216797
6,0,5,4,-1,9.155688285827637,18.346908569335938
7,0,6,3,-1,10.236745834350586,22.193222045898438
8,0,6,5,-1,9.362588882446289,8.92692756652832
9,0,5,3,-1,8.45132827758789,19.05620574951172
10,0,4,4,-1,6.667516708374023,6.797662258148193
11,0,4,2,-1,7.8181400299072275,7.020908355712891
12,0,4,6,-1,9.16430950164795,16.498626708984375
13,0,4,5,-1,9.219118118286133,9.368170738220215
14,0,5,5,-1,11.952348709106445,17.010356903076172
15,0,5,6,-1,9.55964469909668,8.630511283874512
16,0,4,5,-1,7.173046112060547,9.48373031616211
17,0,4,4,-1,7.692103862762451,7.370835304260254
18,0,4,3,-1,6.901198863983154,10.891352653503418
19,0,4,4,-1,7.617308616638184,7.290975570678711
20,0,4,4,-1,9.191967010498047,16.2716121673584
21,0,6,4,-1,8.181404113769531,17.006832122802734
22,0,4,3,-1,8.875452995300293,11.719038009643555
23,0,4,6,-1,7.331140995025635,6.274417400360107
24,0,6,5,-1,7.900799751281738,4.928831577301025
25,0,4,4,-1,8.889750480651855,14.179043769836426
26,0,4,3,-1,7.428423881530762,6.300110816955566
27,0,5,4,-1,8.192094802856445,12.902778625488281
28,0,4,4,-1,9.112053871154785,15.702066421508789
29,0,4,1,-1,9.380878448486328,19.498291015625
30,0,4,7,-1,11.030027389526367,22.386489868164062
31,0,4,5,-1,7.996474266052246,8.218999862670898
32,0,4,3,-1,7.490346908569336,13.128138542175293
33,0,4,5,-1,8.110572814941406,9.647797584533691
34,0,5,3,-1,8.62059497833252,9.281400680541992
35,0,6,2,-1,8.204930305480957,5.052792072296143
36,0,4,5,-1,7.982784748077393,16.176403045654297
37,0,5,3,-1,7.451231956481934,16.770509719848633
38,0,5,5,-1,8.18257999420166,8.829102516174316
39,0,4,5,-1,7.644756317138672,17.214908599853516
40,0,4,6,-1,9.327186584472656,7.311373710632324
41,0,4,3,-1,10.525333404541016,10.833818435668945
42,0,5,7,-1,6.600468635559082,11.84769058227539
43,0,5,2,-1,10.283927917480469,24.365127563476562
44,0,6,5,-1,8.709855079650879,18.315998077392578
45,0,5,6,-1,8.488919258117676,19.427980422973633
46,0,5,3,-1,6.745462894439697,8.441049575805664
47,0,4,3,-1,9.198403358459473,11.198474884033203
48,0,4,2,-1,8.103357315063477,18.988988876342773
49,0,4,0,-1,6.280279159545898,9.795595169067383
50,0,4,0,-1,6.894843101501465,7.291256427764893
51,0,4,0,-1,8.972012519836426,16.465749740600586
52,0,4,0,-1,7.259414196014404,7.506553649902344
53,0,5,0,-1,6.559144020080566,12.877254486083984
54,0,4,1,-1,7.14306116104126,12.97426223754883
55,0,4,1,-1,8.483248710632324,7.207389831542969
56,0,5,2,-1,8.68229866027832,7.318254470825195
