,Collision,Sick,reachedGoal,Time,ShortestDistanceAverage,ShortestDistanceMedian
0,1,10,20,22.54916763305664,3.764585971832275,3.163919448852539
1,4,12,20,21.5565185546875,6.06886100769043,8.909324645996094
2,0,6,20,20.556522369384766,5.315606117248535,3.493613719940185
3,1,11,19,-1.0,5.173304080963135,11.710577011108398
4,6,8,20,22.507835388183594,5.834624290466309,9.62785530090332
5,0,10,19,-1.0,5.603689193725586,10.807767868041992
6,2,8,20,19.8699951171875,4.039669036865234,7.589264392852783
7,1,8,20,23.020004272460938,5.055443286895752,4.78950834274292
8,0,10,20,21.949996948242188,5.094864845275879,5.38182258605957
9,1,10,20,22.279998779296875,5.135501384735107,4.4611029624938965
10,6,8,20,21.399993896484375,4.9082350730896,8.319840431213379
11,1,9,19,-1.0,4.461230278015137,3.253688812255859
12,1,9,20,20.589996337890625,3.937613725662231,5.575880527496338
13,2,13,20,23.360015869140625,4.542118549346924,3.678831577301025
14,1,10,19,-1.0,4.933056354522705,4.666447639465332
15,5,6,20,21.92999267578125,5.190977573394775,11.66006088256836
16,11,9,20,23.230010986328125,4.887626647949219,1.00023329257965
17,0,5,19,-1.0,4.525639057159424,3.674519538879394
18,8,16,20,20.80999755859375,6.851334571838379,6.190138816833496
19,0,9,20,23.899993896484375,5.372243404388428,3.020376443862915
20,0,7,20,26.05999755859375,6.637017726898193,9.235051155090332
21,1,6,20,21.600006103515625,5.7710394859313965,3.728035449981689
22,6,10,19,-1.0,5.481446743011475,5.384005069732666
23,6,13,20,20.72998046875,4.026356697082519,4.47700834274292
24,7,10,20,22.77001953125,4.165554046630859,6.755456924438477
25,0,7,20,21.80999755859375,4.98762845993042,2.337457180023193
26,0,9,20,21.29998779296875,4.796677112579346,4.878857612609863
27,7,6,20,22.97998046875,4.289552688598633,4.9006218910217285
28,9,9,18,-1.0,4.375115394592285,7.042275428771973
29,10,10,20,21.9200439453125,4.772919178009033,3.912460088729858
30,0,8,20,21.53997802734375,5.8146467208862305,8.298861503601074
31,1,6,20,21.08001708984375,4.477410316467285,5.334499359130859
32,1,10,20,20.9599609375,5.047164440155029,3.675585508346557
33,6,8,20,22.23004150390625,4.981168270111084,7.665331840515137
34,0,10,18,-1.0,4.288954257965088,3.594256639480591
35,3,6,20,21.8499755859375,5.862768173217773,6.070167541503906
36,4,7,19,-1.0,4.221803188323975,8.587127685546875
37,0,7,20,22.04998779296875,4.952157497406006,4.62588357925415
38,1,8,20,22.72998046875,6.443630218505859,11.131912231445312
39,1,8,20,20.300048828125,5.397841453552246,11.510541915893555
40,0,9,20,21.01995849609375,7.6125593185424805,3.46500825881958
41,9,8,19,-1.0,4.570318698883057,6.565254211425781
42,4,9,18,-1.0,6.067774772644043,11.179924011230469
